Match, ID
Croatia-Brazil,1
Mexico-Cameroon,2
Netherlands-Spain,3
Chile-Australia,4
England-Italy,5
Greece-Colombia,6
Costa Rica-Uruguay,7
Honduras-France,8
Argentina-Bosnia and Herzegovina,9
Switzerland-Ecuador,10
Japan-Côte d'Ivoire,11
USA-Ghana,12
Nigeria-Iran,13
Portugal-Germany,14
South Korea-Russia,15
Algeria-Belgium,16
Brazil-Mexico,17
Cameroon-Croatia,18
Chile-Spain,19
Netherlands-Australia,20
Colombia-Côte d'Ivoire,21
England-Uruguay,22
Greece-Japan,23
Ecuador-Honduras,24
Costa Rica-Italy,25
France-Switzerland,26
Nigeria-Bosnia and Herzegovina,27
Iran-Argentina,28
Ghana-Germany,29
Algeria-South Korea,30
Portugal-USA,31
Russia-Belgium,32
Australia-Spain,33
Croatia-Mexico,34
Chile-Netherlands,35
Brazil-Cameroon,36
Uruguay-Italy,37
Costa Rica-England,38
Japan-Colombia,39
Greece-Côte d'Ivoire,40
Switzerland-Honduras,41
Argentina-Nigeria,42
Bosnia and Herzegovina-Iran,43
France-Ecuador,44
Germany-USA,45
Russia-Algeria,46
South Korea-Belgium,47
Portugal-Ghana,48